"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 08 11:29:45 CST 2020","Tue Dec 08 11:30:00 CST 2020","14824","case.safety_inspection","test_safety_inspection","TestSafetyinspection","","","test_02_overdue",""
"passed","Tue Dec 08 11:27:24 CST 2020","Tue Dec 08 11:29:45 CST 2020","141551","case.safety_inspection","test_safety_inspection","TestSafetyinspection","","","test_01_safety",""
"broken","Tue Dec 08 11:31:49 CST 2020","Tue Dec 08 11:31:54 CST 2020","5168","case.apk_manage","test_apk","TestApk","","","test_installApp",""
"passed","Tue Dec 08 11:31:44 CST 2020","Tue Dec 08 11:31:49 CST 2020","5228","case.apk_manage","test_apk","TestApk","","","test_01_openDevice",""
"passed","Tue Dec 08 11:30:00 CST 2020","Tue Dec 08 11:30:15 CST 2020","14687","case.safety_inspection","test_safety_inspection","TestSafetyinspection","","","test_03_noPermission",""
